lesson_no,question_no,type,question,correct_letters,correct_answers,option_a,option_b,option_c,option_d
"1","11","single","Tại sao quản trị được coi là một nghệ thuật?","D","D.Vì đòi hỏi sự sáng tạo, linh hoạt và kỹ năng cá nhân của nhà quản trị","A.Vì dựa trên các kỹ thuật làm việc chi tiết","B.Vì tập trung vào lý thuyết và phân tích","C.Vì chỉ áp dụng trong các lĩnh vực nghệ thuật","D.Vì đòi hỏi sự sáng tạo, linh hoạt và kỹ năng cá nhân của nhà quản trị"
"1","12","single","Nhận biết ví dụ về nghệ thuật quản trị: Nghệ thuật quản trị thể hiện rõ nhất trong hoạt động nào sau đây?","B","B.Sử dụng các kỹ năng giao tiếp để động viên nhân viên","A.Đưa ra dự báo dựa trên dữ liệu thống kê","B.Sử dụng các kỹ năng giao tiếp để động viên nhân viên","C.Thiết kế hệ thống máy móc tự động","D.Lập kế hoạch chi tiết theo các mô hình đã có"
"1","13","single","Lý do nào sau đây khiến một cá nhân được gọi là nhà quản trị?","B","B.Vì họ chịu trách nhiệm hoạch định, tổ chức, lãnh đạo và kiểm soát để đạt mục tiêu tổ chức.","A.Vì họ được bổ nhiệm làm lãnh đạo.","B.Vì họ chịu trách nhiệm hoạch định, tổ chức, lãnh đạo và kiểm soát để đạt mục tiêu tổ chức.","C.Vì họ là người có trình độ chuyên môn cao nhất trong tổ chức.","D.Vì họ làm việc với nhân viên trong cùng một phòng ban."
"1","14","single","Tại sao mục tiêu của nhà quản trị phải gắn liền với mục tiêu của tổ chức?","C","C.Mục tiêu của nhà quản trị gắn liền với mục tiêu của tổ chức để đảm bảo tính thống nhất và hướng đến hiệu quả chung.","A.Vì nhà quản trị không có quyền đặt ra mục tiêu riêng.","B.Mục tiêu của nhà quản trị gắn liền với mục tiêu của tổ chức giúp nhà quản trị giảm bớt áp lực công việc.","C.Mục tiêu của nhà quản trị gắn liền với mục tiêu của tổ chức để đảm bảo tính thống nhất và hướng đến hiệu quả chung.","D.Mục tiêu của nhà quản trị gần liền với mục tiêu của tổ chức giúp nhà quản trị có thêm quyền lực."
"1","15","single","Tại sao quản trị được coi vừa là khoa học vừa là nghệ thuật?","C","C.Vì quản trị kết hợp giữa các nguyên tắc khoa học và khả năng sáng tạo, linh hoạt trong thực tế.","A.Vì quản trị chỉ tập trung vào kỹ năng cá nhân.","B.Vì quản trị chỉ cần dựa trên lý thuyết khoa học.","C.Vì quản trị kết hợp giữa các nguyên tắc khoa học và khả năng sáng tạo, linh hoạt trong thực tế.","D.Vì quản trị không đòi hỏi kinh nghiệm thực tế."
"1","16","single","Quản trị là sự kết hợp của yếu tố nào?","D","D.Khoa học và nghệ thuật.","A.Quản lý tài chính và nhân sự.","B.Kiểm tra và phân tích.","C.Kỹ thuật và vận hành.","D.Khoa học và nghệ thuật."
"1","17","single","Nhận biết vai trò của nhà quản trị trong tổ chức?","B","B.Hoạch định, tổ chức, lãnh đạo và kiểm soát","A.Tăng lợi nhuận và doanh thu","B.Hoạch định, tổ chức, lãnh đạo và kiểm soát","C.Đào tạo nhân viên mới","D.Phân phối sản phẩm đến khách hàng"
"1","18","single","Trong mục tiêu dài hạn, nhà quản trị thường đặt trọng tâm vào yếu tố nào?","B","B.Xây dựng chiến lược phát triển tổ chức bền vững","A.Tăng cường năng lực sản xuất","B.Xây dựng chiến lược phát triển tổ chức bền vững","C.Thực hiện các công việc hành chính nhanh chóng","D.Đạt được lợi nhuận tối đa trong thời gian ngắn"
"1","20","single","Quản trị vừa là khoa học vừa là nghệ thuật, mục tiêu của sự kết hợp này là gì?","A","A.Kết hợp lý thuyết với thực tiễn để đạt hiệu quả tối ưu","A.Kết hợp lý thuyết với thực tiễn để đạt hiệu quả tối ưu","B.Đảm bảo tính chính xác trong công việc hành chính","C.Xây dựng hệ thống kiểm soát nghiêm ngặt","D.Tăng cường năng suất lao động"
"1","21","single","Nghệ thuật quản trị giúp nhà quản trị thực hiện điều gì?","A","A.Linh hoạt giải quyết các tình huống phức tạp trong thực tế","A.Linh hoạt giải quyết các tình huống phức tạp trong thực tế","B.Tối ưu hóa quá trình kiểm soát nội bộ","C.Xây dựng các nguyên tắc quản trị cố định","D.Tăng cường khả năng phân tích dữ liệu"
"1","22","single","So sánh: Nhà quản trị khác với nhân viên ở điểm nào? A.Nhà quản trị không cần đào tạo kỹ năng chuyên môn.","C","lãnh đạo và kiếm soát.","B.Nhà quản trị không làm việc theo lịch trình cố định.","C.Nhà quản trị thực hiện các chức năng quản trị như hoạch định, tổ chức,","lãnh đạo và kiếm soát.","D.Nhà quản trị không tham gia vào hoạt động sản xuất."
"1","23","single","Quản trị được hiểu là gì?","D","D.Quá trình phối hợp các nguồn lực để đạt mục tiêu tổ chức","A.Hoạt động tài chính trong doanh nghiệp.","B.Công việc của phòng nhân sự.","C.Quá trình kiểm tra chất lượng sản phẩm.","D.Quá trình phối hợp các nguồn lực để đạt mục tiêu tổ chức"
"1","24","single","Tính mục tiêu trong quản trị được hiểu là gì?","B","B.Tập trung vào việc đạt được kết quả mong muốn của tổ chức.","A.Đảm bảo sự hài lòng của nhân viên.","B.Tập trung vào việc đạt được kết quả mong muốn của tổ chức.","C.Xây dựng văn hóa doanh nghiệp.","D.Phân bố nguồn lực tài chính hợp lý."
"1","25","single","Nhà quản trị có thể làm việc ở những loại hình tổ chức nào?","A","A.Trong mọi loại hình tổ chức, bất kể quy mô và lĩnh vực hoạt động","A.Trong mọi loại hình tổ chức, bất kể quy mô và lĩnh vực hoạt động","B.Chỉ trong các cơ quan nhà nước","C.Chỉ trong các doanh nghiệp lớn","D.Chỉ trong các tổ chức phi lợi nhuận"
"1","26","single","Để đạt được mục tiêu của tổ chức, nhà quản trị cần ưu tiên yếu tố nào?","A","A.Hiệu quả và hiệu suất sử dụng nguồn lực","A.Hiệu quả và hiệu suất sử dụng nguồn lực","B.Mức độ sáng tạo của sản phẩm","C.Sự hài lòng của khách hàng","D.Quy mô tổ chức"
"1","27","single",": Quản trị là những hoạt động cần thiết khi có nhiều người kết hợp với nhau trong một tổ chức nhằm thực hiện chung","A","A.Mục tiêu","A.Mục tiêu","B.Lợi nhuận","C.Kế hoạch","D.Lợi ích"
"1","28","single","Để tăng hiệu suất quản trị, các nhà quản trị có thể thực hiện bằng cách","D","D.Tất cả những cách trên","A.Giảm chi phí ở đầu vào và doanh thu ở đầu ra không thay đổi","B.Chi phí ở đầu vào không thay đổi và tăng doanh thu ở đầu ra","C.Vừa giảm chi phí ở đầu vào và vừa tăng doanh thu ở đầu ra","D.Tất cả những cách trên"
"1","29","single","Cấp quản trị chịu trách nhiệm chính đối với các hoạt động chức năng là gì?","B","B.Cấp trung","A.Cấp cao","B.Cấp trung","C.Cấp cơ sở","D.Nhân viên thừa hành"
"1","30","single",": Nhà quản trị cần thực hiện vai trò gì khi giải quyết vấn đề bãi công xảy ra trong doanh nghiệp?","C","C.Vai trò người thương thuyết","A.Vai trò nhà kinh doanh","B.Vai trò người giải quyết xáo trộn","C.Vai trò người thương thuyết","D.Vai trò người lãnh đạo"
"2","1","single","Theo Charles Babbage, yếu tố nào là quan trọng trong quản trị?","A","A.Sự phân công lao động và tối ưu hóa sử dụng nguyên vật liệu","A.Sự phân công lao động và tối ưu hóa sử dụng nguyên vật liệu","B.Sự phát triển công nghệ máy móc","C.Sự đổi mới trong thiết kế sản phẩm","D.Sự hợp tác giữa các quốc gia"
"2","2","single","Hạn chế lớn nhất trong tư tưởng quản trị của Taylor là gì?","A","A.Hiểu biết phiến diện và máy móc về con người","A.Hiểu biết phiến diện và máy móc về con người","B.Quá tập trung vào sáng tạo cá nhân","C.Thiếu sự hợp tác giữa quản lý và công nhân","D.Không áp dụng được trong thực tế"
"2","3","single","Chỉ ra nguyên tắc quản trị theo quan điểm của Frederick Taylor trong các nội dung sau đây? A.Người quản lý phải đảm bảo sự cân bằng giữa đóng góp và thỏa mãn của cá nhân","A","B.Người quản lý cần am hiểu khoa học và bố trí lao động một cách khoa học","B.Người quản lý cần am hiểu khoa học và bố trí lao động một cách khoa học","C.Người quản lý phải tích cực tiếp xúc và truyền thông trực tiếp với công","nhân và đồng nghiệp","D.Người quản lý phải ra lệnh phải phù hợp với mục tiêu của tổ chức"
"2","4","single","Mary Parker Follet nhấn mạnh khía cạnh nào trong quản trị?","B","B.Tâm lý và xã hội","A.Kinh tế và tài chính","B.Tâm lý và xã hội","C.Quy trình và nguyên tắc cứng nhắc","D.Kỹ thuật và công nghệ"
"2","5","single","Theo Chester Barnard, yếu tố nào KHÔNG phải là yếu tố cơ bản của một tổ chức?","A","A.Quyền lực từ cấp trên","A.Quyền lực từ cấp trên","B.Mục tiêu chung","C.Sự sẵn sàng hợp tác","D.Sự thông đạt"
"2","6","single","Theo quan điểm của Chester Barnard, để một mệnh lệnh được cấp dưới chấp nhận, điều kiện nào sau đây KHÔNG đúng?","B","B.Mệnh lệnh phải áp đặt quyền lực lên cấp dưới","A.Cấp dưới phải có khả năng thực hiện mệnh lệnh","B.Mệnh lệnh phải áp đặt quyền lực lên cấp dưới","C.Nội dung ra lệnh phải phù hợp với mục tiêu của tổ chức","D.Mệnh lệnh phải rõ ràng và dễ hiểu"
"2","7","single","Chỉ ra điều kiện cho sự tồn tại của tổ chức theo quan điểm của Chester Barnard?","C","C.Sự cân bằng giữa đóng góp và thỏa mãn của cá nhân","A.Các quyết định quản trị đúng đắn","B.Sự lãnh đạo hiệu quả của cấp trên","C.Sự cân bằng giữa đóng góp và thỏa mãn của cá nhân","D.Hệ thống chức vụ và đạo đức"
"2","8","single","Nguyên nhân chính giúp các doanh nghiệp phương Đông đạt được sự thành công trong quản trị doanh nghiệp là: A.Tập trung hoàn toàn vào lợi nhuận mà không chú trọng con người.","C","Phương Đông.","B.Chỉ dựa vào các giá trị truyền thống Phương Đông.","C.Tiếp thu khoa học quản trị Phương Tây và kết hợp với giá trị truyền thống","Phương Đông.","D.Loại bỏ hoàn toàn phong cách quản trị truyền thống."
"2","9","single","Một trong đặc trưng nổi bật trong phong cách quản trị của doanh nghiệp Phương Đông là:","D","D.Chú trọng nhân tố con người với tư cách là một nguồn tài nguyên vô giá.","A.Phụ thuộc hoàn toàn vào công nghệ Phương Tây.","B.Tập trung tuyệt đối vào lợi nhuận.","C.Không quan tâm đến các giá trị truyền thống.","D.Chú trọng nhân tố con người với tư cách là một nguồn tài nguyên vô giá."
"2","10","single","Cơ chế quản lý kinh tế trong các nước xã hội chủ nghĩa trước đây đã có những đóng góp gì?","D","D.Xây dựng cơ sở kinh tế - xã hội ban đầu cho chủ nghĩa xã hội.","A.Loại bỏ mọi sự can thiệp của Nhà nước vào nền kinh tế.","B.Phát triển nhanh chóng công nghiệp hóa và hiện đại hóa.","C.Hoàn toàn thúc đẩy kinh tế thị trường tự do.","D.Xây dựng cơ sở kinh tế - xã hội ban đầu cho chủ nghĩa xã hội."
"2","11","single","Nhận diện yếu tố KHÔNG phải là giá trị truyền thống tạo nên phong cách quản trị Phương Đông?","D","D.Tinh thần cạnh tranh nội bộ quyết liệt.","A.Sự cần cù, tiết kiệm.","B.Lòng nhân ái và tinh thần tập thể.","C.Lòng trung thành và gắn bó với tổ chức.","D.Tinh thần cạnh tranh nội bộ quyết liệt."
"2","12","single","Theo P. Drucker, yếu tố quan trọng trong quản trị doanh nghiệp là gì?","B","B.Sự sáng tạo và tập trung vào khách hàng, thị trường","A.Phân cấp quyền lực trong tổ chức.","B.Sự sáng tạo và tập trung vào khách hàng, thị trường","C.Tăng cường năng suất lao động qua tự động hóa.","D.Quản lý tài chính hiệu quả."
"2","13","single","Trong lý thuyết quản trị hiện đại, các nhà quản trị Bắc Âu gần quản trị doanh nghiệp với điều gì?","A","A.Điều hòa lợi ích một phần cho xã hội thông qua cơ quan Chính phủ.","A.Điều hòa lợi ích một phần cho xã hội thông qua cơ quan Chính phủ.","B.Tăng cường sự tự chủ của các doanh nghiệp.","C.Tối đa hóa lợi nhuận bằng mọi cách.","D.Phát triển kinh tế tư nhân."
"2","14","single","Nội dung ""Mọi người được khuyến khích để duy trì bầu không khí làm việc vui vẻ, thoải mái, cảm thụ được ý nghĩa về sự hoàn thành"" trong lý thuyết quản trị của Robert H.Waterman và Thomas J.Peter thể hiện yếu tố nào thúc đẩy các hoạt động quản trị đạt đến sự “tuyệt hảo""?","B","B.Nâng cao năng suất thông qua nhân tố con người","A.Tự quản và mạo hiểm.","B.Nâng cao năng suất thông qua nhân tố con người","C.Phổ biến và thúc đấy các giá trị chung của tổ chức.","D.Liên hệ chặt chẽ với khách hàng."
"2","15","single","Minh họa chính sách khuyến khích nhân viên sáng tạo của doanh nghiệp trong ""Quản trị sáng tạo""?","A","A.Đãi ngộ và khen thưởng dựa trên thành tích sáng tạo.","A.Đãi ngộ và khen thưởng dựa trên thành tích sáng tạo.","B.Chỉ khen thưởng những nhân viên có thâm niên.","C.Chỉ trao cơ hội sáng tạo cho nhóm quản lý cấp cao.","D.Giảm thiểu sự tham gia của nhân viên vào công việc chung."
"2","16","single","Frederick Taylor đưa ra mấy nguyên tắc quản trị khoa học?","C","C.4","A.5","B.6","C.4","D.3"
"2","17","single","Mary Parker Follet khuyến khích các nhà quản trị nên làm gì để giải quyết xung đột trong tổ chức?","D","D.Tích cực tiếp xúc và truyền thông trực tiếp với công nhân và đồng nghiệp","A.Tăng cường kiểm soát cấp dưới","B.Tránh tiếp xúc với công nhân để hạn chế mâu thuẫn","C.Sử dụng quyền lực để áp đặt","D.Tích cực tiếp xúc và truyền thông trực tiếp với công nhân và đồng nghiệp"
"2","18","single","Trong lý thuyết quản trị hiện đại, các nhà quản trị Nhật Bản kết hợp phương thức quản trị hiện đại với yếu tố nào?","D","D.Sức mạnh truyền thống dân tộc và con người.","A.Công nghệ tiên tiến nhất từ phương Tây.","B.Quản lý tập trung hóa cao độ.","C.Phương pháp tự động hóa toàn diện.","D.Sức mạnh truyền thống dân tộc và con người."
"2","19","single","Diễn giải cơ cấu tổ chức của doanh nghiệp trong ""Quản trị sáng tạo"" được thiết kế như thế nào?","D","D.Theo cơ cấu mạng lưới, mỗi thành viên là một đơn vị cơ sở","A.Theo mô hình tập trung hóa để dễ kiểm soát.","B.Theo cấu trúc phân tầng rõ ràng.","C.Theo mô hình phân cấp chặt chẽ.","D.Theo cơ cấu mạng lưới, mỗi thành viên là một đơn vị cơ sở"
"2","20","single","Tư tưởng cốt lõi của Frederick Taylor trong quản trị là gì?","A","A.Đối với mỗi loại công việc đều phải có 1 khoa học để thực hiện nó","A.Đối với mỗi loại công việc đều phải có 1 khoa học để thực hiện nó","B.Tập trung vào phát triển sản phẩm thay vì con người","C.Giảm tối đa giám sát công nhân","D.Tăng cường sự sáng tạo cá nhân trong công việc"
"2","21","single","Elton Mayo đã thực hiện nghiên cứu nội dung gì?","C","C.Ảnh hưởng của các điều kiện làm việc đến năng suất làm việc của công nhân","A.Phân chia công việc thành nhiều phần việc đơn giản, sau đó huấn luyện cho mỗi công nhân chỉ chuyên thực hiện 1 hay 2 phần việc","B.Đề ra một hệ thống các chức năng quản trị","C.Ảnh hưởng của các điều kiện làm việc đến năng suất làm việc của công nhân","D.Đưa ra 4 nguyên lý về sự phối hợp"
"2","22","single","Nhận diện yếu tố nào đóng vai trò quan trọng nhất trong việc tạo ra tác phong cá nhân theo quan điểm của Elton Mayo?","D","D.Ảnh hưởng của tập thể","A.Lợi ích kinh tế","B.Quy trình làm việc","C.Quyền lực của cấp trên","D.Ảnh hưởng của tập thể"
"2","23","single","Đặc trưng nổi bật của cơ chế quản lý kinh tế trong hệ thống các nước xã hội chủ nghĩa trước đây là gì?","D","D.Tập trung hóa cao độ và hành chính hóa trong quản lý.","A.Phân quyền cao độ và tự do hóa kinh tế.","B.Không có kế hoạch và cơ chế cấp phát rõ ràng.","C.Ưu tiên kinh tế tư nhân và cạnh tranh thị trường.","D.Tập trung hóa cao độ và hành chính hóa trong quản lý."
"2","24","single","Theo hai nhà lý thuyết quản trị Hoa Kỳ là tiến sĩ Robert H.Waterman và Thomas J.Peter thì một trong các yếu tố thúc đẩy các hoạt động quản trị đạt đến sự ""tuyệt hảo"" là gì?","A","A.Sự thỏa mãn của khách hàng là ý thức chung của tổ chức.","A.Sự thỏa mãn của khách hàng là ý thức chung của tổ chức.","B.Giảm thiểu tối đa rủi ro và thất bại.","C.Chỉ áp dụng các chiến lược đơn giản, gọn nhẹ.","D.Tập trung vào lợi nhuận ngắn hạn."
"2","25","single","Hạn chế trong tư tưởng quản trị của Henry Fayol là gì?","C","C.Không chú ý đến tâm lý và môi trường xã hội của người lao động","A.Không đặt ra nguyên tắc quản trị rõ ràng","B.Không đề cập đến phân chia công việc","C.Không chú ý đến tâm lý và môi trường xã hội của người lao động","D.Không quan tâm đến việc tổ chức công việc"
"2","26","single","Theo Mary Parker Follet, quản trị là:","C","C.Một dòng liên tục và rất năng động","A.Một tập hợp các quy tắc cố định","B.Một hoạt động chỉ dành cho các nhà quản lý cấp cao","C.Một dòng liên tục và rất năng động","D.Một quá trình cố định và không thay đổi"
"2","27","single","Phong cách quản trị của các doanh nghiệp Phương Đông thường nhấn mạnh vào nội dung gì?","A","A.Tinh thần tập thể và lòng trung thành với tổ chức.","A.Tinh thần tập thể và lòng trung thành với tổ chức.","B.Việc cạnh tranh nội bộ giữa các cá nhân.","C.Sự độc lập tuyệt đối của từng thành viên trong doanh nghiệp.","D.Tầm quan trọng của tuổi trẻ và sáng tạo cá nhân."
"2","28","single","Ai là người được cả thế giới phương Tây gọi là “Cha đẻ của thuyết quản trị khoa học”?","B","B.Frederick Taylor","A.Charles Babbage","B.Frederick Taylor","C.Henry Fayol","D.Mary Parket Follet"
"2","29","single",". Nội dung “Phải quan tâm đến người lao động trong quá trình giải quyết vấn đề” thể hiện tư tưởng của học giả nào sau đây?","D","D.Mary Parket Follet","A.Charles Babbage","B.Frederick Taylor","C.Henry Fayol","D.Mary Parket Follet"
"2","30","single",". Elton Mayo đã thực hiện nghiên cứu nội dung gì?","B","B.Ảnh hưởng của ánh sáng nơi làm việc đến năng suất làm việc của công nhân.","A.Phân chia công việc thành nhiều phần việc đơn giản, sau đó huấn luyện cho mỗi công nhân chỉ chuyên thực hiện 1 hay 2 phần việc","B.Ảnh hưởng của ánh sáng nơi làm việc đến năng suất làm việc của công nhân.","C.Đề ra một hệ thống các chức năng quản trị","D.Đưa ra 4 nguyên lý về sự phối hợp"
"3","1","single","Hoạch định tạo thuận lợi cho việc kiểm tra như thế nào?","B","B.Cung cấp các mục tiêu rõ ràng làm tiêu chuẩn đo lường.","A.Giảm bớt chi phí cho công tác kiểm tra.","B.Cung cấp các mục tiêu rõ ràng làm tiêu chuẩn đo lường.","C.Đánh giá hiệu suất dựa trên cảm quan của nhà quản trị.","D.Tăng thời gian kiểm tra."
"3","2","single","Hoạch định mục tiêu được hiểu là gì?","C","C.Xác định kết quả cụ thế mà tổ chức cần đạt được trong một thời gian cụ thể.","A.Xây dựng các thủ tục chi tiết cho từng hoạt động.","B.Xác định cách thức thực hiện hành động của tổ chức.","C.Xác định kết quả cụ thế mà tổ chức cần đạt được trong một thời gian cụ thể.","D.Xác định ngân sách tài chính cần thiết để đạt mục tiêu"
"3","3","single","Chỉ ra sự khác biệt giữa hoạch định chính sách và hoạch định thủ tục?","A","A.Chính sách hướng dẫn việc ra quyết định trong phạm vi rộng, còn thủ tục là chuỗi hoạt động cần thực hiện theo thứ tự thời gian.","A.Chính sách hướng dẫn việc ra quyết định trong phạm vi rộng, còn thủ tục là chuỗi hoạt động cần thực hiện theo thứ tự thời gian.","B.Chính sách và thủ tục không có mối quan hệ với nhau","C.Chính sách tập trung vào hướng dẫn hành động, còn thủ tục tập trung vào việc ra quyết định.","D.Chính sách chỉ tồn tại ở cấp quản lý, còn thủ tục áp dụng cho mọi cấp bậc."
"3","4","single","Bước đầu tiên trong quá trình lập kế hoạch là gì?","D","D.Nhận thức cơ hội.","A.Xác định các phương án lựa chọn.","B.Thiết lập mục tiêu.","C.Lượng hóa các kế hoạch bằng ngân quỹ.","D.Nhận thức cơ hội."
"3","5","single","Diễn đạt vai trò của việc xác định mục tiêu khi lập kế hoạch? A.Xác định kết quả mong muốn cần đạt được và điểm kết thúc của hành","A","động","động","B.Đưa ra các giả định về môi trường bên ngoài.","C.Xác định phương pháp cụ thể để thực hiện nhiệm vụ.","D.Tìm kiếm và phát triển các phương án hành động."
"3","6","single","Nhận diện nội dung tổ chức cần thực hiện sau khi xác định các phương án trong quá trình lập kế hoạch?","B","B.Đánh giá các phương án lựa chọn","A.Phát triển các kế hoạch phụ trợ.","B.Đánh giá các phương án lựa chọn","C.Ra quyết định cuối cùng.","D.Xây dựng ngân quỹ cho các phương án."
"3","7","single","Diễn đạt mục đích của bước kiểm tra trong quá trình quản trị theo mục tiêu?","B","B.Phát hiện những khó khăn hoặc sai lệch so với mục tiêu ban đầu.","A.Xử lý kịp thời nhân viên làm sai.","B.Phát hiện những khó khăn hoặc sai lệch so với mục tiêu ban đầu.","C.Tăng cường đầu tư nguồn lực cho việc thực hiện mục tiêu.","D.Tăng thời gian thực hiện của nhân viên."
"3","8","single","Giải thích vì sao khi quản trị theo mục tiêu, việc đề ra các mục tiêu xác đáng rất khó khăn?","B","B.Cần có nhiều thời gian và phải nghiên cứu kỹ lưỡng.","A.Cần nhiều người tham gia.","B.Cần có nhiều thời gian và phải nghiên cứu kỹ lưỡng.","C.Cần đầu tư nhiều kinh phí.","D.Cần có sự đồng thuận của tất cả mọi người trong tổ chức."
"3","9","single","Doanh nghiệp A thực hiện quản trị theo mục tiêu. Khi tiến hành tổng kết và đánh giá quá trình thực hiện, doanh nghiệp A có thể xác định thành tích của nhân viên dựa trên cơ sở nào?","D","D.Mức độ hoàn thành mục tiêu đã cam kết của nhân viên","A.Sự điều chỉnh các sai lệch trong quá trình thực hiện mục tiêu của nhân viên.","B.Mức độ đánh giá chủ quan của nhà quản trị.","C.Công việc đã cam kết của nhân viên.","D.Mức độ hoàn thành mục tiêu đã cam kết của nhân viên"
"3","10","single","Hoạch định chiến lược là gì? A.Là quá trình phân tích môi trường bên trong và bên ngoài của tổ chức cho phép tổ chức đó hoạt động một cách thành công","D","D.Là quá trình xác định sứ mệnh, mục tiêu của tổ chức, phân tích môi trường bên ngoài và bên trong, đề ra những chiến lược cho phép tổ chức đó hoạt động một cách thành công","B.Là quá trình xác định sứ mệnh, mục tiêu của tổ chức cho phép tổ chức đó","hoạt động một cách thành công","C.Là quá trình đề ra các hành động của tổ chức cho phép tổ chức đó hoạt động một cách thành công","D.Là quá trình xác định sứ mệnh, mục tiêu của tổ chức, phân tích môi trường bên ngoài và bên trong, đề ra những chiến lược cho phép tổ chức đó hoạt động một cách thành công"
"3","11","single","Giải thích vì sao hoạch định chiến lược lại giúp tổ chức nâng cao tinh thần đội ngũ nhân viên?","C","C.Truyền đạt rõ ràng các lý tưởng như tầm nhìn, sứ mệnh và giá trị cốt lõi","A.Loại bỏ nhu cầu tổ chức các cuộc họp trong doanh nghiệp","B.Giúp giảm khối lượng công việc cho nhân viên","C.Truyền đạt rõ ràng các lý tưởng như tầm nhìn, sứ mệnh và giá trị cốt lõi","D.Khuyến khích sự cạnh tranh nội bộ giữa các nhóm"
"3","12","single","Nhận diện nội dung ""Chiến lược trả lời cho câu hỏi: Doanh nghiệp sẽ nằm ở đâu trong những ngành kinh doanh nào, vị trí của doanh nghiệp đối với môi trường và vai trò của từng ngành kinh doanh trong doanh nghiệp"" thể hiện cho cấp chiến lược nào sau đây?","D","D.Chiến lược cấp doanh nghiệp","A.Chiến lược cấp kinh doanh","B.Chiến lược cấp đơn vị","C.Chiến lược cấp chức năng","D.Chiến lược cấp doanh nghiệp"
