lesson_no,question_no,type,question,correct_letters,correct_answers,option_a,option_b,option_c,option_d
"1","15","single","Lựa chọn hình thức và kiểu Nhà nước của Việt Nam?","A","Hình thức chính thể cộng hòa dân chủ và kiểu nhà nước xã hội chủ nghĩa","Hình thức chính thể cộng hòa dân chủ và kiểu nhà nước xã hội chủ nghĩa","Hình thức chính thể cộng hòa dân chủ và kiểu nhà nước tư sản","Hình thức chính thể quân chủ và kiểu nhà nước xã hội chủ nghĩa","Hình thức chính thể cộng hòa và kiểu nhà nước xã hội chủ nghĩa"
"1","16","single","Nhà nước xuất hiện khi nào?","A","Khi xã hội có phân chia giai cấp","Khi xã hội có phân chia giai cấp","Từ xã hội Cộng sản nguyên thủy","Khi có sự trồng trọt, chăn nuôi","Khi có con người"
"1","17","single","Xác định nhiệm vụ của Nhà nước khi mang bản chất giai cấp?","D","Quản lý và bảo vệ giai cấp thống trị về mọi mặt","Bảo vệ các tầng lớp và lợi ích chung xã hội","Quản lý và bảo vệ toàn xã hội","Quản lý và bảo vệ các giai cấp trong toàn xã hội","Quản lý và bảo vệ giai cấp thống trị về mọi mặt"
"1","18","single","Nhà nước có những chức năng cơ bản nào?","D","Chức năng đối nội, chức năng đổi ngoại","Chức năng đối ngoại","Chức năng đối nội, chức năng đối ngoại, chức năng chính trị","Chức năng đối nội","Chức năng đối nội, chức năng đổi ngoại"
"1","19","single","Xác định quyền lực mà Nhà nước xác lập để thực hiện chức năng quản lý xã hội?","D","Quyền lực công đặc biệt","Quyền lực chính trị","Quyền lực công","Quyền lực kinh tế","Quyền lực công đặc biệt"
"1","20","single","Liệt kê các hình thức chính thể của Nhà nước tư sản?","C","Hình thức chính thể quân chủ lập hiến, hình thức chính thể cộng hòa dân chủ","Hình thức chính thể cộng hòa dân chủ","Hình thức chính thể quân chủ, hình thức chính thể cộng hòa","Hình thức chính thể quân chủ lập hiến, hình thức chính thể cộng hòa dân chủ","Hình thức chính thể quân chủ lập hiến"
"1","21","single","Xác định kiểu Nhà nước mà người nông dân không có hoặc có rất ít ruộng đất nên phải phụ thuộc vào giai cấp địa chủ?","A","Nhà nước phong kiến","Nhà nước phong kiến","Nhà nước xã hội chủ nghĩa","Nhà nước tư sản","Nhà nước chủ nô"
"1","22","single","Xác định hoạt động phòng thủ đất nước thuộc chức năng nào của Nhà nước?","C","Chức năng đối ngoại","Chính năng kinh tế","Chức năng chính trị","Chức năng đối ngoại","Chức năng đối nội"
"1","23","single","Xác định bộ máy Nhà nước do nhân dân bầu ra thuộc hình thức Nhà nước nào?","A","Hình thức chính thể cộng hòa dân chủ","Hình thức chính thể cộng hòa dân chủ","Hình thức chính thể","Hình thức chính thể cộng hòa","Hình thức quân chủ"
"1","24","single","Liệt kê các hoạt động chính của Nhà nước sử dụng để thực hiện chức năng đối nội và chức năng đối ngoại?","D","Xây dựng pháp luật, tổ chức thực hiện pháp luật và bảo vệ pháp luật","Xây dựng pháp luật, tổ chức thực hiện pháp luật và giám sát thực hiện pháp luật","Xây dựng pháp luật, tổ chức thực hiện pháp luật, bảo vệ pháp luật và giám sát thực hiện pháp luật","Xây dựng pháp luật, tổ chức thực hiện pháp luật","Xây dựng pháp luật, tổ chức thực hiện pháp luật và bảo vệ pháp luật"
"1","25","single","Xác định kiểu Nhà nước cuối cùng trong lịch sử loài người đến thời điểm hiện nay?","C","Nhà nước xã hội chủ nghĩa","Nhà nước phong kiến","Nhà nước tư sản","Nhà nước xã hội chủ nghĩa","Nhà nước chủ nô"
"1","26","single","Liệt kê các công cụ mà Nhà nước sử dụng để trấn áp các lực lượng đối địch?","B","Quân đội, cảnh sát, tòa án, nhà tù","Quân đội, cảnh sát, tòa án","Quân đội, cảnh sát, tòa án, nhà tù","Cảnh sát, tòa án","Quân đội, cảnh sát"
"1","27","single","Xác định hình thức Nhà nước của các Nhà nước xã hội chủ nghĩa?","B","Hình thức chính thể cộng hòa dân chủ","Hình thức chính thể cộng hòa dân chủ, hình thức chỉnh thể quân chủ hạn chế","Hình thức chính thể cộng hòa dân chủ","Hình thức chính thể cộng hòa","Hình thức chỉnh thể quân chủ hạn chế"
"1","28","single","Liệt kê các hình thức chính thể của Nhà nước tư sản?","B","Hình thức chính thể quân chủ lập hiến, hình thức chính thể cộng hòa dân chủ","Hình thức chính thể quân chủ lập hiến","Hình thức chính thể quân chủ lập hiến, hình thức chính thể cộng hòa dân chủ","Hình thức chính thể cộng hòa dân chủ","Hình thức chính thể quân chủ, hình thức chính thể cộng hòa"
"1","29","single",". Hình thức chính thể cộng hòa dân chủ nhân dân là hình thức chính thể của quốc gia","A","Việt Nam","Việt Nam","Pháp","Đức","Nhật"
"1","30","single",". Tổ chức có quyền phân chia lãnh thổ thành các đơn vị hành chính?","D","Nhà nước","Hội phụ nữ","Mặt trận tổ quốc","Công đoàn","Nhà nước"
"2","1","single","Pháp luật được hình thành dựa trên? Nhà nước thừa nhận những quy tắc tồn tại trong xã hội và cải tạo những quy tắc đó","D","A và B","cho phù hợp với lợi ích của nhà nước","Thông qua con đường hoạt động xã hội, nhà nước hình thành các văn bản quy phạm pháp luật để điều chỉnh các quan hệ xã hội","Nhà nước phát triển những quy tắc tồn tại vốn có trong xã hội sao cho phù hợp với lợi ích của nhân dân","A và B"
"2","2","single","Trong xã hội phong kiến, luật pháp thường nghiêng về bảo vệ quyền lợi của tầng lớp quý tộc và địa chủ, trong khi người nông dân bị áp bức nặng nề. Điều này cho thấy pháp luật có bản chất gì?","A","Mang bản chất giai cấp rõ rệt","Mang bản chất giai cấp rõ rệt","Thể hiện ý chí của toàn dân","Mang tính phổ biến rộng rãi","Mang tính nhân đạo cao"
"2","3","single","Bộ luật Lao động của Việt Nam hiện tại đặt ra các quy định bảo vệ quyền lợi của người lao động trước người sử dụng lao động. Bản chất giai cấp của Pháp luật được thể hiện như thế nào?","D","Không đáp án nào đúng","Giảm dần bản chất giai cấp","Tăng dần bản chất giai cấp","Loại bỏ hoàn toàn tính giai cấp của pháp luật","Không đáp án nào đúng"
"2","4","single","Quy phạm pháp luật có cơ cấu bao gồm?","A","Giả định; Quy định; Chế tài","Giả định; Quy định; Chế tài","Giả thiết; Quy phạm; Chế tài","Giả định; Nội dung; Trách nhiệm pháp lý","Giả thiết; Quy định; Trách nhiệm pháp lý"
"2","5","single","Chỉ ra loại quan hệ pháp luật trong trường hợp sau: Một người bị truy tố trước tòa án vì tội tham ô tài sản nhà nước?","C","Quan hệ pháp luật hình sự","Quan hệ pháp luật lao động","Quan hệ pháp luật dân sự","Quan hệ pháp luật hình sự","Quan hệ pháp luật hành chính"
"2","6","single","Xác định việc một chủ thể của quan hệ pháp luật có thể làm khi bị tòa án tuyên bố mất năng lực hành vi dân sự?","B","Chỉ được thực hiện giao dịch thông qua người đại diện theo pháp luật","Vẫn được tự mình thực hiện các giao dịch dân sự","Chỉ được thực hiện giao dịch thông qua người đại diện theo pháp luật","Chỉ được tham gia các giao dịch nhỏ lẻ","Không đáp án nào đúng"
"2","7","single","Xác định đáp án nào đúng nhất trong tình huống ""Một công ty được thành lập theo quy định pháp luật, có tư cách pháp nhân""?","A","Công ty có năng lực pháp luật và năng lực hành vi pháp luật từ khi được cấp giấy chứng nhận đăng ký doanh nghiệp","Công ty có năng lực pháp luật và năng lực hành vi pháp luật từ khi được cấp giấy chứng nhận đăng ký doanh nghiệp","Công ty có đầy đủ năng lực pháp luật nhưng không có năng lực hành vi pháp luật","Công ty không có năng lực pháp luật mà chỉ có năng lực hành vi","Công ty chỉ có thể hoạt động khi được sự đồng ý của nhà nước"
"2","8","single","Một người khởi kiện một công ty ra tòa án để bảo vệ quyền lợi của mình trong một tranh chấp hợp đồng. Xác định loại hình thức thực hiện pháp luật?","A","Sử dụng pháp luật","Sử dụng pháp luật","Áp dụng pháp luật","Tuân thủ pháp luật","Thi hành pháp luật"
"2","9","single","Khi một người không thực hiện nghĩa vụ đóng thuế vì thiếu hiểu biết, hành vi này được xác định là vi phạm pháp luật do lỗi nào?","D","Lỗi vô ý do quá cẩu thả","Lỗi cố ý gián tiếp","Lỗi vô ý do quá tự tin","Lỗi cố ý trực tiếp","Lỗi vô ý do quá cẩu thả"
"2","10","single","Cho tình huống: Vụ án tham nhũng tại Tập đoàn Vạn Thịnh Phát liên quan đến bà Trương Mỹ Lan cùng đồng phạm là một trong những vụ án kinh tế lớn nhất tại Việt Nam, kéo dài từ năm 2011 đến 2022. Nhóm này đã lợi dụng việc kiểm soát Ngân hàng SCB, chiếm giữ tới 91% cổ phần vào năm 2018, để thực hiện các khoản vay khống và ""rút ruột"" ngân hàng thông qua hồ sơ giả và công ty ""ma"". Hành vi này dẫn đến dư nợ không thu hồi được hơn 677.000 tỷ đồng, gây âm vốn chủ sở hữu của SCB hơn 443.000 tỷ đồng, đẩy ngân hàng vào khủng hoảng thanh khoản nghiêm trọng. Thực hiện việc xác định mặt khách thể trong tình huống vi phạm pháp luật trên?","B","Quyền tài sản và trật tự quản lý kinh tế","Lợi ích của cá nhân bà Trương Mỹ Lan và đồng phạm","Quyền tài sản và trật tự quản lý kinh tế","Quyền lợi của các cổ đông trong Tập đoàn Vạn Thịnh Phát","Uy tín của Tập đoàn Vạn Thịnh Phát"
"2","11","single","Cho tình huống: Vụ án Trịnh Văn Quyết, cựu Chủ tịch Tập đoàn FLC, liên quan đến việc năng khống vốn Công ty CP Xây dựng FLC Faros lên hơn 4.300 tỷ đồng, niêm yết và bán khống cổ phiếu ROS để chiếm đoạt hơn 3.621 tỷ đồng, đồng thời thao túng giá cổ phiếu thu lợi bất chính 684 tỷ đồng. Hành vi này gây thiệt hại lớn cho nhà đầu tư và làm suy giảm lòng tin vào thị trường chứng khoán. Thực hiện việc xác định mối quan hệ nhân quả giữa hành vi vi phạm và hậu quả của hành vi trong tình huống trên?","A","Từ hành vi bán khống cổ phiếu, chiếm đoạt và thu lợi bất chính của chủ thể vi phạmdẫn đến thiệt hại nghiêm trọng cho các nhà đầu tư, giảm lòng tin vào thị trườngchứng khoán và ảnh hưởng tiêu cực đến sự minh bạch của hệ thống tài chính","Từ hành vi bán khống cổ phiếu, chiếm đoạt và thu lợi bất chính của chủ thể vi phạmdẫn đến thiệt hại nghiêm trọng cho các nhà đầu tư, giảm lòng tin vào thị trườngchứng khoán và ảnh hưởng tiêu cực đến sự minh bạch của hệ thống tài chính","Từ hành vi thao túng giá cổ phiếu dẫn đến thiệt hại nghiêm trọng của các nhà đầu tư","Tất cả các đáp án đều đúng","Từ hành vì nâng giá cổ phiếu dẫn đến ảnh hưởng tiêu cực đến hệ thống tài chính"
"2","12","single","Cho tình huống: Vụ án Trịnh Văn Quyết, cựu Chủ tịch Tập đoàn FLC, liên quan đến việc năng khống vốn Công ty CP Xây dựng FLC Faros lên hơn 4.300 tỷ đồng, niêm yết và bán khống cổ phiếu ROS để chiếm đoạt hơn 3.621 tỷ đồng, đồng thời thao túng giá cổ phiếu thu lợi bất chính 684 tỷ đồng. Hành vi này gây thiệt hại lớn cho nhà đầu tư và làm suy giảm lòng tin vào thị trường chứng khoán. Thực hiện việc xác định yếu tố lỗi trong tình huống trên?","B","Lỗi cố ý trực tiếp, với mục đích lừa đảo chiếm đoạt tài sản","Lỗi cố ý gián tiếp trong việc làm sai lệch báo cáo tài chính","Lỗi cố ý trực tiếp, với mục đích lừa đảo chiếm đoạt tài sản","Lỗi vô ý do thiếu hiểu biết pháp luật","Lỗi vô ý trong thao túng giá cổ phiếu"
"2","13","single","Cho tình huống: Công ty TNHH Hoa Hồng chuyên kinh doanh mặt hàng mỹ phẩm. Để tăng lợi nhuận cho công ty, bà Nguyễn Hồng Hoa (giám đốc công ty) đã chỉ đạo nhân viên nhập một số mặt hàng không rõ nguồn gốc trà trộn với các sản phẩm chính hãng và đưa sản phẩm ra bán trên thị trường. Hành vi này đã bị phát hiện bởi lực lượng Quản lý thị trường. Thực hiện việc xác định dấu hiệu vi phạm pháp luật trong tình huống trên?","B","Bán mặt hàng không rõ nguồn gốc xuất sứ, Vi phạm trong quản lý chất lượng sản phẩm; Có lỗi của chủ thể; Chủ thể có năng lực chịu trách nhiệm pháp lý","Kinh doanh trái phép; Vi phạm trong quản lý chất lượng sản phẩm của nhà nước; Có lỗi của chủ thể; Chủ thể không có năng lực chịu trách nhiệm pháp lý","Bán mặt hàng không rõ nguồn gốc xuất sứ, Vi phạm trong quản lý chất lượng sản phẩm; Có lỗi của chủ thể; Chủ thể có năng lực chịu trách nhiệm pháp lý","Không đáp án nào đúng","Gian lận nhập và tiêu thụ hàng không rõ nguồn gốc xuất xứ, Vi phạm trong quản lý chất lượng sản phẩm của nhà nước; Có lỗi của chủ thể"
"2","14","single","Cho tình huống: Ông Dũng là chủ một quán karaoke tại Hà Nội. Biết khách thuê phòng tại cơ sở của mình để sử dụng ma túy, ông vẫn đồng ý và thu phí sử dụng phòng. Trong một lần kiểm tra, cơ quan công an phát hiện và bắt quả tang nhóm khách đang sử dụng ma túy trong quán. Hành vi của ông Dũng có vi phạm pháp luật không? Nếu có, hãy chứng minh lỗi của hành vi vi phạm pháp luật đó? Có; Lỗi của ông Dũng là lỗi cố ý gián tiếp dù có nhận thức hành vi sử dụng ma túy là sai, dù không mong muốn nhưng chấp nhận hậu quả xảy ra","A","Có; Lỗi của ông Dũng là lỗi cố ý trực tiếp do nhận thức rõ hành vi sử dụng ma túy tại quán nhưng vẫn để khách sử dụng ma túy","Có; Lỗi của ông Dũng là lỗi cố ý trực tiếp do nhận thức rõ hành vi sử dụng ma túy tại quán nhưng vẫn để khách sử dụng ma túy","Không có hành vi vi phạm pháp luật","Có; Lỗi của khách thuê phòng là lỗi cố ý trực tiếp do nhận thức rõ hậu quả hành vi","nhưng vẫn cố ý thực hiện"
"2","15","single","Ông A mở cửa hàng kinh doanh thực phẩm và xuất trình đầy đủ giấy phép kinh doanh cũng như chứng nhận an toàn vệ sinh thực phẩm khi bị kiểm tra. Thực hiện xác định loại hình thức thực hiện pháp luật?","A","Ông A sử dụng quyền được kinh doanh hợp pháp, nên đây là sử dụng pháp luật","Ông A sử dụng quyền được kinh doanh hợp pháp, nên đây là sử dụng pháp luật","Ông A không vi phạm quy định pháp luật nên đây là tuân thủ pháp luật","Ông A bị yêu cầu nộp phạt nếu giấy phép không hợp lệ, nên đây là áp dụng pháp luật","Ông A thực hiện đầy đủ nghĩa vụ nộp thuế, nên đây là thi hành pháp luật"
"2","16","single","Một người có năng lực hành vi dân sự đầy đủ là người:","D","Đã đủ 18 tuổi và không bị hạn chế hoặc mất năng lực hành vi dân sự","Đã đủ 20 tuổi và có tài sản riêng","Đã đủ 16 tuổi và tự chịu trách nhiệm trước pháp luật","Đã đủ 15 tuổi và được gia đình cho phép thực hiện giao dịch","Đã đủ 18 tuổi và không bị hạn chế hoặc mất năng lực hành vi dân sự"
"2","17","single","Một tòa án ra quyết định xử phạt một cá nhân vi phạm luật giao thông. Xác định loại hình thức thực hiện pháp luật?","B","Áp dụng pháp luật","Thi hành pháp luật","Áp dụng pháp luật","Sử dụng pháp luật","Tuân thủ pháp luật"
"2","18","single","Một học sinh không đội mũ bảo hiểm khi đi xe máy đến trường dù có quy định bắt buộc. Xác định đáp án đúng nhất?","D","Vi phạm pháp luật hành chính vì vi phạm quy định về an toàn giao thông","Vi phạm đạo đức nhưng không vi phạm pháp luật","Không vi phạm pháp luật vì chỉ là lỗi nhỏ","Vi phạm pháp luật hình sự vì gây nguy hiểm cho bản thân và người khác","Vi phạm pháp luật hành chính vì vi phạm quy định về an toàn giao thông"
"2","19","single","Cho tình huống: Vào lúc 19h ngày 20/10/2018, tại địa bàn tỉnh Thái Nguyên, anh Nguyễn Hoàng Nam (sinh 2001) đi xe máy Vespa chở bạn gái đi chơi. Do phóng nhanh, lạng lách đã đâm vào xe máy ngược chiều gây hư hỏng nặng chiếc xe, chị Trần Thanh Hương - chủ xe bị thương nặng. Tổng giá trị thiệt hại về tài sản được xác định là 30.000.000₫. Thực hiện việc xác định dấu hiệu nhận biết hành vi vi phạm pháp luật trong tình huống trên? Là hành vi cụ thể; Có lỗi của chủ thế; Chủ thể không có năng lực chịu trách nhiệm pháp lý","A","Là hành vi cụ thể; Là hành vi trái pháp luật; Có lỗi của chủ thể; Chủ thể có năng lực chịu trách nhiệm pháp lý","Là hành vi cụ thể; Là hành vi trái pháp luật; Có lỗi của chủ thể; Chủ thể có năng lực chịu trách nhiệm pháp lý","Không đáp án nào đúng","Là hành vi cụ thể; Là hành vi trái pháp luật; Có lỗi của chủ thế, Chủ thế không có","năng lực chịu trách nhiệm pháp lý"
"2","20","single","Việc luật pháp hiện nay ưu tiên quyền lợi của các nhóm yếu thế trong xã hội, như người khuyết tật hoặc trẻ em, cho thấy pháp luật:","B","Thể hiện bản chất xã hội sâu sắc","Không còn phản ánh ý chí của giai cấp thống trị","Thể hiện bản chất xã hội sâu sắc","Đã mất đi bản chất giai cấp","Vẫn hoàn toàn mang tính giai cấp như trước đây"
"2","21","single","Trong các nhà nước chủ nô thời cổ đại, luật pháp cho phép chủ nô hoàn toàn sở hữu nô lệ và đối xử với họ như tài sản. Điều này chứng minh?","D","Pháp luật mang bản chất giai cấp","Pháp luật được xây dựng dựa trên ý chí toàn dân","Không đáp án nào đúng","Pháp luật mang tính ổn định lâu dài","Pháp luật mang bản chất giai cấp"
"2","22","single","Cho tình huống: Ông Bình cho Kiên thuê phòng tại nhà nghỉ của mình để thực hiện hành vi mua dâm với Xoan. Hành vi của ông Bình có vi phạm pháp luật không? Nếu có, hãy thực hiện việc xác định khách thể của hành vi vi phạm pháp luật đó?","A","Có. Khách thể là quy định pháp luật về phòng chống tệ nạn xã hội","Có. Khách thể là quy định pháp luật về phòng chống tệ nạn xã hội","Có. Khách thể là Xoan, người bán dâm","Có. Khách thể là Kiên, người mua dâm","Không tồn tại hành vi vi phạm pháp luật do ông Bình không phải là chủ thể thực hiện hành vi mua dâm"
"2","23","single","Một công dân A mua lại một căn nhà từ công dân B thông qua hợp đồng mua bán được công chứng tại văn phòng cô chứng. Xác định loại quan hệ pháp luật nào phát sinh trong trường hợp này?","A","Quan hệ pháp luật dân sự","Quan hệ pháp luật dân sự","Quan hệ pháp luật hình sự","Quan hệ pháp luật lao động","Quan hệ pháp luật hành chính"
"2","24","single","Trong các trường hợp sau, xác định đâu là hành vi vi phạm dân sự?","C","Ông A mượn tiền ông B nhưng không trả theo đúng thoả thuận","Anh C bị phạt vì vượt đèn đỏ khi tham gia giao thông","Công ty E bị phạt vì không nộp thuế đúng hạn","Ông A mượn tiền ông B nhưng không trả theo đúng thoả thuận","Chị D bị xử lý hình sự vì trộm cắp tài sản"
"2","25","single","Vụ án tham nhũng tại Tập đoàn Vạn Thịnh Phát liên quan đến bà Trương Mỹ Lan cùng đồng phạm là một trong những vụ án kinh tế lớn nhất tại Việt Nam, kéo dài từ năm 2011 đến 2022. Nhóm này đã lợi dụng việc kiểm soát Ngân hàng SCB, chiếm giữ tới 91% cổ phần vào năm 2018, để thực hiện các khoản vay khống và ""rút ruột"" ngân hàng thông qua hồ sơ giả và công ty ""ma"". Hành vi này dần điền dư nợ không thu hồi được hơn 677.000 tỷ đồng, gây âm vốn chủ sở hữu của SCB hơn 443.000 tỷ đồng, đầy ngân hàng vào khủng hoảng thanh khoản nghiêm trọng. Chứng minh lỗi của bà Trương Mỹ Lan cùng các đồng phạm trong tình huống trên?","B","Các đối tượng nhận thức được hành vi gây hậu quả nghiêm trọng nhưng vẫn tiến hành thực hiện hành vi","Các đối tượng không nhận thức được hậu quả do bất cần trong công việc","Các đối tượng nhận thức được hành vi gây hậu quả nghiêm trọng nhưng vẫn tiến hành thực hiện hành vi","Các đối tượng không nhận thức được việc kiểm soát ngân hàng nhâm thực hiện các khoản vay khống sẽ gây hậu quả nghiêm trọng","Các đối tượng nhận thức được hậu quả nghiêm trọng nhưng không mong muốn hậu quả đó xảy"
"2","26","single","Cho tình huống: Cơ sở thẩm mỹ Hoa Hồng chuyên kinh doanh mặt hàng mỹ phẩm. Để tăng lợi nhuận, bà Nguyên Hồng Hoa (Chủ cơ sở) đã chỉ đạo nhân viên nhập một số mặt hàng không rõ nguồn gốc trà trộn với các sản phẩm chính hãng và đưa sản phẩm ra bán trên thị trường. Một số khách hàng đã bị dị ứng với sản phẩm của cơ sở. Thực hiện việc xác định yếu tố lỗi trong tình huống trên? Chủ thể vi phạm nhận thấy rõ sản phẩm không có nguồn gốc nhưng vẫn tiến hành hoạt động kinh doanh với mong muốn sản phẩm chất lượng đảm bảo","C","Chủ thể vi phạm nhận thức được hậu quả sẽ xảy ra nhưng để mặc nó xảy ra","Chủ thể vi phạm nhận thức được hậu quả có thể xảy ra nhưng hi vọng điều đó","không xảy ra với khách hàng của mình","Chủ thể vi phạm nhận thức được hậu quả sẽ xảy ra nhưng để mặc nó xảy ra","Tất cả các đáp án đều đúng"
"2","27","single","Xác định đáp án đúng nhất?","B","Năng lực pháp luật của chủ thể là cá nhân có trước năng lực hành vi B","Năng lực pháp luật và năng lực hành vi của chủ thể là cá nhân xuất hiện đồng thời","Năng lực pháp luật của chủ thể là cá nhân có trước năng lực hành vi B","Năng lực pháp luật của chủ thể là cá nhân xuất hiện sau năng lực hành vi","Năng lực pháp luật của chủ thể là cá nhân biến mất khi năng lực hành vi xuất hiện"
"2","28","single","Xác định trong các trường hợp dưới đây, hành vi nào là vi phạm pháp luật do lỗi vô ý? Một người cố ý làm giả giấy tờ để lừa đảo chiếm đoạt tài sản","C","không có ý định gây tai nạn","Một người đánh người khác vì nóng giận","Một người lái xe gây tai nạn giao thông vì không tuân thủ quy tác đường bộ dù","không có ý định gây tai nạn","Một người hành động với mục đích giết người nhưng không thành công"
"2","29","single","Vi phạm pháp luật được định nghĩa là:","B","Hành vi trái pháp luật, có lỗi và phải chịu trách nhiệm pháp lý","Bất kỳ hành vi nào trái với ý muốn cá nhân","Hành vi trái pháp luật, có lỗi và phải chịu trách nhiệm pháp lý","Hành vi bị xã hội lên án và bị công chúng phê phản","Hành vi gây hại cho cá nhân mà không gây hại cho xã hội"
"2","30","single","Vi phạm pháp luật dân sự thường liên quan đến:","A","Các tranh chấp về tài sản, hợp đồng, hoặc quyền lợi dân sự.","Các tranh chấp về tài sản, hợp đồng, hoặc quyền lợi dân sự.","Hành vi xâm phạm an ninh quốc gia.","Hành vi sử dụng chất cấm trong thể thao.","Các hoạt động kinh tế không được phép."
"3","1","single","Phần tử cấu thành nhỏ nhất của hệ thống pháp luật là:","C","Quy phạm pháp luật","Chế định pháp luật","Quy định pháp luật","Quy phạm pháp luật","Ngành luật"
"3","2","single","Vì sao hệ thống pháp luật mang tính khách quan?","A","Vì xuất phát từ yêu cầu khách quan của việc điều chỉnh bằng pháp luật các quan hệ xã hội tồn tại một cách khách quan trong xã hội đó","Vì xuất phát từ yêu cầu khách quan của việc điều chỉnh bằng pháp luật các quan hệ xã hội tồn tại một cách khách quan trong xã hội đó","Vì hệ thống pháp luật mang tính bắt buộc chung","Vì pháp luật điều chỉnh toàn xã hội","Vì đảm bảo tính công bằng"
"3","3","single","Xác định tính thống nhất hài hòa bên trong của hệ thống pháp luật được quyết định bởi điều gì?","D","Tính thống nhất của chế độ kinh tế, chính trị - xã hội của một quốc gia","Theo tư tưởng, chính sách của Đảng","Tư tưởng chỉ đạo của Nhà nước","Theo chính sách về chế độ kinh tế","Tính thống nhất của chế độ kinh tế, chính trị - xã hội của một quốc gia"
"3","4","single","Liệt kê các bộ phận cấu thành của hệ thống pháp luật?","A","Quy phạm pháp luật, chế định pháp luật, ngành luật","Quy phạm pháp luật, chế định pháp luật, ngành luật","Quy phạm pháp luật, ngành luật","Quy phạm pháp luật, chế định pháp luật, ngành luật, pháp luật","Quy phạm pháp luật, chế định pháp luật"
"3","5","single","Cấu tạo một quy phạm pháp luật nếu đầy đủ sẽ gồm mấy phần?","A","Ba phần","Ba phần","Hai phần","Năm phần","Bốn phần"
